Eigenval      Eigenvec
8.32179857496       0.933448606697 1.07932758768e-14 -1.68542248269e-15 -2.98283625394e-15 -0.226351817171 -1.89694560702e-15 0.238382046859 -1.05551239116e-15 -5.90522364783e-16 -2.29953414974e-16 0.0964424808184 -1.28206072026e-16 -0.0907845636619 -1.25723581965e-16 -8.68159063772e-17 -3.0675620039e-16 0.0402990280814 -9.6302647442e-18 0.0324039210164 -8.21907495152e-17 -2.20557167188e-16 1.10208619068e-15 -0.0147399080727 -4.48535874601e-16 0.0116238516561 -4.94588198581e-19 -9.13306233452e-17 2.55069476376e-16 -0.0044103611539 -1.59606441912e-16 0.00367876099053 -2.22175255138e-17 -3.59741296322e-17 -2.56237716873e-17 -0.000374334670461 5.69491520693e-18 0.000334335382784 -1.17882433965e-17 -8.51424316985e-17 5.9086437599e-17 0.00107225425024 -2.24692221525e-18 -0.000991794259223 -2.65520826945e-17 -5.06214241488e-17 -7.90376137674e-18 -0.00138278889775 -3.13433338222e-17 0.00129126945216 -1.65761607694e-17 -1.08629314186e-17 -1.80898435566e-17 0.00117109192331 -1.42435779716e-17 -0.00108753190699 -1.58293911665e-17 -3.15034150016e-20 -2.52135985092e-19 0.000759627294762 -7.78404969393e-18 -0.000703521770578 -6.48233909481e-18 -3.80678219963e-17 -1.95323474905e-17 0.000343251857241 -2.54798149546e-17 0.000320289830841 -5.59128292744e-18 -1.68952263044e-17 -3.1736186223e-17 2.16647391085e-05 -7.42310528603e-18 -2.05147677416e-05 -2.22831239284e-17 -6.49628548822e-18 -1.26959044828e-18 -0.000175378691862 -2.62189186933e-17 0.000167491791891 -1.88616463857e-17 -1.20903385374e-17 -2.16662084083e-17 0.000256276431764 -1.15419542759e-17 0.000245536682973 -1.70179780739e-17 -5.06905510273e-17 -1.06050126741e-17 -0.000246486379611 1.06804912326e-21 0.000235739314046 2.46412551032e-18 -1.41021774131e-18 3.90417808253e-18 -0.000179591509237 4.85549727817e-18 0.000171502324048 1.1821523006e-18 -3.7906019259e-18 7.56980315106e-19
9.67146294432       -3.85802501057e-15 0.869994095723 4.32253653679e-14 0.432957805201 2.32314167903e-14 -4.43531263256e-14 6.16173778667e-15 0.160918967526 2.39883069899e-14 -0.145089160334 -6.55031584529e-15 4.87994941996e-15 -1.44328993201e-15 0.0704877835801 -1.03316132509e-15 -0.0499478443978 -1.44328993201e-15 -7.52148411641e-16 1.27675647832e-15 -0.0287431136365 -6.91751881017e-16 0.0161006200085 8.881784197e-16 -3.454393998e-16 -7.49400541622e-16 -0.0109430984988 3.21370460043e-16 -0.00458739005845 -3.1918911958e-16 -1.53143791571e-16 1.94289029309e-16 -0.00349381606646 3.22956121486e-16 -0.000378069612949 2.28983498829e-16 1.29517775488e-16 -1.71737624122e-16 -0.000318306972866 -1.00715523545e-15 0.00113368153514 2.08166817117e-17 -3.28282293977e-17 -6.93889390391e-18 0.000936459737283 -1.51766144309e-16 0.00145694145931 1.94289029309e-16 -1.62814656918e-16 1.66533453694e-16 0.00123253897413 3.8940169633e-16 -0.00122200067252 -2.22044604925e-16 2.8020733142e-16 -1.38777878078e-16 0.00105003631813 1.94077368498e-16 0.000784077823735 9.71445146547e-17 3.70740806656e-17 -5.55111512313e-17 -0.000683848322209 -2.50205115482e-17 0.000352018614476 0.0 -2.64042902753e-17 -6.93889390391e-18 -0.000311747502691 2.71854099388e-17 -2.20451756804e-05 -5.20417042793e-17 2.58858504287e-17 2.10335221462e-16 -2.00768254024e-05 -1.60076412463e-17 -0.000180152365294 -1.28369537222e-16 2.22773307222e-16 -1.04083408559e-16 -0.000162755436299 -2.74716049814e-17 -0.00026294375057 1.87350135405e-16 1.6676149458e-16 4.85722573274e-17 -0.000239430475251 1.02126974764e-16 0.000251835545792 -5.55111512313e-17 -4.50221299095e-18 -6.93889390391e-18 -0.000230818446542 -1.24088009028e-17 0.000181951288694 -1.17961196366e-16 -5.03777779391e-17 -1.38777878078e-17 0.000168420371462 1.80326487188e-17 8.93510812516e-05
30.6258876614       2.45636844198e-15 -2.01052493797e-14 0.949264802233 -4.8316895805e-14 1.8776646904e-14 1.44874788542e-14 1.61537450083e-14 -5.8756279763e-15 -0.288391343228 -3.514550782e-14 -3.06699110553e-15 3.76378154216e-15 2.02615701994e-15 -2.87956800959e-15 0.116192049505 -1.91257606338e-16 1.52655665886e-16 -1.19672313059e-15 5.13478148889e-16 -8.45132995041e-16 0.044243433631 2.07822625328e-15 -2.68882138776e-17 5.52599193488e-19 2.96637714392e-16 -5.16988097555e-18 0.0153859670996 2.54994941779e-16 -3.46944695195e-18 8.50237027372e-17 -1.11022302463e-16 1.4129785892e-16 0.00374178659869 -4.91338878031e-16 -2.56739074445e-16 -2.95891511802e-16 -3.98986399475e-17 8.99890709757e-17 -0.000905897551531 -1.4218768377e-16 6.93889390391e-18 3.93916505882e-16 4.85722573274e-17 -4.00490715809e-16 -0.00242954036374 2.92014905323e-16 6.93889390391e-17 -1.67455288899e-16 1.38777878078e-16 -2.32558428285e-17 -0.0024585783495 -6.18962293747e-17 2.49800180541e-16 2.96889060689e-17 1.11022302463e-16 1.62852500289e-16 0.00182852181321 2.52820889958e-16 -5.55111512313e-17 -4.31759502731e-16 8.32667268469e-17 3.10971439336e-16 -0.00102883719114 2.8866911767e-17 -2.77555756156e-17 -3.15809670385e-17 -5.55111512313e-17 -2.7868824221e-17 0.000326571455911 -4.15357495664e-17 1.38777878078e-17 5.19662779517e-17 -3.98986399475e-17 -2.9997514916e-17 0.000166041603167 1.09292008141e-16 0.0 7.44109317263e-17 -1.11022302463e-16 5.68979514812e-17 -0.00042891404956 6.74513961921e-18 0.0 -7.41947625689e-17 -1.11022302463e-16 7.6728190316e-18 -0.000491897297388 1.27604845284e-17 5.55111512313e-17 -1.32165528648e-17 -5.55111512313e-17 1.18971531824e-17 0.00041203181151 5.83680518157e-18 5.55111512313e-17 1.65015076e-17 -1.11022302463e-16 6.12035534747e-18 0.000256539394609 8.43333140164e-18
33.0189223815       9.9364960704e-15 -0.484877080997 3.20224304529e-14 0.836763145547 3.08919556602e-14 -6.62319047957e-14 2.53963516883e-14 0.160279164179 1.64721764378e-14 -0.174376474527 -3.69149155688e-15 -8.2389333103e-16 4.16333634234e-17 0.0606183692924 -1.61151716648e-15 -0.0616634075994 -2.53746676449e-15 -8.43897726551e-16 4.16333634234e-16 -0.0214656776017 2.17461166697e-16 0.0233426409425 2.28983498829e-15 7.78582423491e-16 -2.77555756156e-16 -0.00608473612509 -1.46752548226e-16 -0.00920800339888 -9.71445146547e-17 -7.71256587609e-17 -1.66533453694e-16 -0.000504499886821 -1.82132739811e-16 -0.00310191834406 2.77555756156e-17 8.42272078296e-17 1.31838984174e-16 0.00127621910983 -2.61419504471e-16 -0.000274178892623 2.35922392733e-16 -2.67819618608e-16 -8.32667268469e-17 0.00158586262563 2.29153324953e-17 0.00089052897698 1.11022302463e-16 -1.09330929682e-16 2.22044604925e-16 0.00131854659957 1.12507629819e-16 -0.0011543170866 -1.66533453694e-16 2.27485194331e-16 -1.11022302463e-16 0.00085075837393 2.26492456566e-16 0.000977172579447 5.55111512313e-17 2.59326958052e-17 1.66533453694e-16 -0.00038334878479 6.03193473449e-17 0.000639620456305 -2.77555756156e-17 -5.03540291381e-17 -4.16333634234e-17 -2.47569177979e-05 2.90565074495e-17 -0.00029466411925 9.54097911787e-17 -2.73444471226e-17 2.42861286637e-17 0.000190628285803 -9.63708337062e-17 1.84498483981e-05 -5.55111512313e-17 2.3088878181e-16 5.20417042793e-17 -0.000275851221624 1.03738916585e-16 -0.00015678444235 1.14491749414e-16 8.43146907297e-17 8.32667268469e-17 -0.000263490148559 6.45601977169e-17 0.000229691741304 -1.11022302463e-16 1.10274684066e-16 5.55111512313e-17 -0.00019076810299 6.12586962436e-17 0.000220947484689 -5.55111512313e-17 -8.471450812e-19 -1.11022302463e-16 9.38976008991e-05 2.98901206393e-18 0.000161526973673
38.412113668       -0.322546891204 5.34056348626e-15 1.30615062093e-14 2.82872923885e-14 -0.867444980437 -1.47015288454e-14 0.337237215128 4.2090371906e-15 8.05457372379e-16 -1.51778515015e-15 0.133461259105 -6.00186094325e-15 -0.0888708513892 7.87758691655e-16 2.05783343616e-16 -2.26778201552e-16 0.0530387634285 4.84403361772e-16 0.0254061137942 3.67780673078e-17 -6.14860269349e-16 1.46534771165e-15 -0.0216584921822 -5.29541830159e-16 0.00635071851438 2.21061709562e-17 -1.02781775174e-16 3.66367749181e-16 -0.00870354868972 -8.47430534358e-17 0.000430811191712 -5.08949721762e-17 -1.71724946724e-16 -6.40627372537e-17 -0.00293668180307 2.90643600176e-17 -0.00136273073779 -4.34039231845e-17 -3.93900930838e-16 -1.66188640705e-16 -0.000269988348737 -8.27972395727e-17 -0.00167495340035 -1.46111010994e-16 -3.39849682957e-16 -4.52836345466e-17 -0.000843320981949 -2.31511652491e-16 0.00138592153146 -1.15201407402e-16 -7.38622295843e-17 -1.33498164551e-16 0.00111093300174 -9.6066687261e-17 -0.000884419565896 -1.04045906839e-16 -3.81692923611e-18 -1.99825639699e-17 0.000948328488718 -5.95681297887e-17 -0.000393251238755 -4.89340953436e-17 -3.10859873126e-16 -1.67860432397e-16 0.000622090530173 -8.4745025893e-17 2.38031853412e-05 -4.22040223936e-17 -1.21665693308e-16 -2.1563588304e-16 0.000286591295603 -6.64428349647e-17 0.000196337254544 -1.36987302366e-16 -7.54882232729e-17 -1.37721851274e-17 1.81053846331e-05 -1.98629604668e-16 0.000283584231343 -1.55946435899e-16 -7.24681485294e-17 -1.59317934581e-16 0.000153103345171 -8.40284684378e-17 0.000270466405301 -1.42922868801e-16 -3.5749453918e-16 -8.29923839096e-17 -0.000225675717225 -3.21122367896e-17 0.000195048000643 -4.52570807345e-17 4.08823208773e-17 -4.11714989658e-17 -0.000218949405623 5.08343728048e-17 9.53613866364e-05 1.80454607555e-17 1.79115133894e-17 1.63678739807e-17
41.8868486199       2.63677968348e-16 -8.98613608047e-15 1.52034352205e-14 -8.38166851331e-14 2.1010970741e-14 -0.999026867168 1.21569421196e-14 -5.84782938835e-16 2.1852490887e-15 3.6939804261e-15 2.22044604925e-16 0.0365806559036 4.27435864481e-15 -9.13589436999e-16 1.19200621958e-15 1.49874230444e-16 4.60742555219e-15 0.0194771310425 -2.44249065418e-15 -5.32717106228e-16 -5.65587946776e-16 4.49544063048e-16 6.66133814775e-16 -0.0121622090535 -5.55111512313e-17 -1.47423609491e-16 7.76616785377e-16 -3.40635411811e-16 2.49800180541e-16 0.00751556640617 6.10622663544e-16 -6.12481514291e-16 4.36577501439e-16 -1.69694314673e-16 -7.04297731247e-16 -0.00424203382002 2.08166817117e-17 7.76275330452e-17 -1.79131421924e-16 2.08422429908e-16 -2.01227923213e-16 -0.00201491288436 -6.93889390391e-17 -1.72354825523e-16 -7.30923915719e-17 1.99510210625e-16 -1.52655665886e-16 -0.00062363119193 -3.33066907388e-16 -6.79713181904e-17 -4.96467256976e-16 -1.39958152758e-16 3.33066907388e-16 0.000152945685443 -1.38777878078e-16 -2.96290476408e-17 8.38413372057e-17 5.71372241393e-17 -1.38777878078e-16 -0.00050521263591 2.77555756156e-17 -4.89847609252e-17 8.41078158549e-18 -7.39753563671e-17 -1.2490009027e-16 -0.00057733774169 0.0 1.27432721757e-17 2.46019825915e-17 1.33752010574e-17 -7.8062556419e-18 0.000481435450871 -5.37764277553e-17 1.97605335996e-17 2.54548311319e-17 1.12903065102e-16 1.38777878078e-17 0.000308449736347 9.71445146547e-17 -1.29119503009e-16 -1.1304276379e-16 -9.75098086583e-17 1.11022302463e-16 0.000126713989772 0.0 -2.98079031875e-17 -9.34461380218e-17 -2.42724791995e-17 1.11022302463e-16 2.12612792274e-05 -1.11022302463e-16 -2.45016830591e-17 2.63807187518e-18 -3.94094325869e-18 5.55111512313e-17 0.000116477655861 1.11022302463e-16 -1.48902227716e-17 5.05591475978e-18 5.36272199787e-18
73.6772758944       0.146877187447 -2.59044840385e-15 2.32639170524e-14 3.65836304325e-14 -0.428624147471 -1.92714840697e-14 -0.872162100715 8.92778270454e-15 2.51586049667e-15 -6.7966652487e-16 -0.115628733644 -3.39031128575e-15 0.130256117551 2.05661910939e-16 -5.83139932452e-16 -1.22520471876e-15 -0.0346481111108 1.40324078155e-15 -0.0447490121897 3.92910676281e-17 -7.70272814291e-16 -1.06841566077e-15 0.00931101878114 3.41689365874e-16 -0.0183123767286 1.95272084058e-16 -1.46742653159e-16 7.26620183465e-18 0.000871228241825 1.83011722891e-16 -0.00771062599539 -8.43531651763e-17 -4.38703121234e-16 -1.07682342226e-16 -0.0015619016804 1.91934625359e-17 -0.00266151663223 -5.4383401715e-17 -5.30500423068e-16 -3.45172101319e-16 -0.00188192336033 -1.4869627544e-16 -0.000212802460877 -2.04840639314e-16 -4.65128742635e-16 -6.6948870906e-17 0.00151223188074 -3.09925189754e-16 -0.00080547959083 -1.50704852288e-16 -9.94752095797e-17 -1.86476332476e-16 -0.000960753784062 -1.42718279093e-16 0.00103944992133 -1.58611914414e-16 1.58805237206e-18 -1.94764106323e-17 -0.000432478200778 -8.17308528767e-17 0.000888224133026 -7.00374706867e-17 -4.19758317499e-16 -2.33716697344e-16 -3.04260196321e-05 -7.51923990422e-17 -0.000587934052342 -6.1841376855e-17 -1.61918959466e-16 -2.9680839978e-16 0.000208704926807 -9.50390778451e-17 0.000272185819556 -1.85343172426e-16 -1.08381803139e-16 -1.77144749332e-17 0.000300005923462 -2.80165482663e-16 1.56132955137e-05 -2.2173832792e-16 -9.47498537265e-17 -2.16272406569e-16 -0.000283978562726 -1.11713314596e-16 -0.00014780527941 -1.95060058788e-16 -4.92092454628e-16 -1.11650502343e-16 0.000204570360856 -5.64790822239e-17 -0.00021644135428 -8.89478239922e-17 8.2890694605e-17 -8.54766984475e-17 0.000100636056487 8.86929207196e-17 -0.000210084107055 3.80534954954e-17 -1.04745561117e-17 5.24348932741e-17
85.5369002445       6.93889390391e-17 0.0812471547278 1.40402532483e-14 0.287484742779 5.41233724505e-15 -2.29777222098e-14 -1.02695629778e-15 -0.91087673368 -1.68721142097e-14 0.254086812233 8.77076189454e-15 -2.2086592383e-15 4.98212582301e-15 -0.109492674213 4.11349983547e-15 0.0485579139717 3.35842464949e-15 -6.96754684891e-16 -2.08166817117e-15 0.0408643645462 2.4972268605e-15 -0.0103410049369 -3.74700270811e-16 1.77838399298e-15 5.6898930012e-16 0.0172481306543 3.77992251057e-16 0.000640859445634 5.13478148889e-16 -2.85510612892e-16 3.05311331772e-16 0.00729531263481 -1.66315238158e-16 -0.00173837479823 -3.53883589099e-16 2.50918826716e-16 1.66533453694e-16 0.00254013246038 7.99181938512e-17 -0.00199668983851 3.33066907388e-16 -2.81521409266e-16 -1.11022302463e-16 0.000218588593658 -4.08098504009e-16 -0.0015959501061 -2.22044604925e-16 -2.68156309873e-17 0.0 -0.00076956334053 -2.92489605339e-16 0.00100736815858 2.08166817117e-17 -5.76334742291e-17 9.71445146547e-17 -0.0010068857417 3.723812011e-17 -0.000446551903051 -8.32667268469e-17 -7.54325738958e-17 -5.55111512313e-17 0.000863564242973 -1.03613445785e-16 -2.79587860501e-05 1.11022302463e-16 -2.48169318911e-16 1.38777878078e-16 0.000572012146078 2.20950095429e-16 -0.000216275737346 6.76542155631e-17 -3.28841842839e-17 -8.50014503229e-17 0.000265611373718 -5.9924443442e-17 0.000308677280893 0.0 1.48703671275e-16 -2.77555756156e-17 -1.60623801936e-05 1.18712829469e-16 0.000291883140094 5.55111512313e-17 2.43379050766e-17 -8.32667268469e-17 0.000144150749794 -4.10149764175e-17 -0.000209827841813 1.38777878078e-17 -6.18144333292e-17 -1.11022302463e-16 0.000212141303901 -1.37131655938e-17 -0.000102621682394 5.55111512313e-17 1.81695042687e-17 -1.11022302463e-16 -0.000206190510867 -5.97016498186e-18 -2.74577660412e-06
119.617125724       1.51267887105e-15 -1.64260622241e-14 0.306444773513 -2.26711585784e-14 7.13318293322e-15 5.80396048713e-15 8.74300631892e-15 1.43596536824e-15 0.937774600303 8.33575918125e-14 -9.5826124813e-15 -2.05957135364e-14 -1.94289029309e-15 1.69566215738e-15 -0.154242196361 3.40681625841e-15 -4.66293670343e-15 4.11825959205e-16 4.69069227904e-15 9.66046104799e-16 -0.0503933502615 1.26615109913e-16 1.80411241502e-16 9.35361501339e-17 -2.49800180541e-16 5.92740833708e-16 -0.0174600396979 -3.9990458404e-16 5.82867087928e-16 -6.8421910712e-16 -1.66533453694e-16 -5.70293692557e-16 -0.00515240235948 -1.6928562823e-16 2.01227923213e-16 -1.90895947692e-16 -8.32667268469e-17 2.90921408562e-16 -0.000267699822242 1.67436001162e-16 0.0 -3.09406401848e-16 9.71445146547e-17 1.15092607418e-16 0.00149538119731 -5.00085141784e-17 4.57966997658e-16 2.26554905409e-16 2.77555756156e-16 -3.35497290645e-16 0.00179973319396 2.46127277944e-16 5.55111512313e-17 6.68889997404e-17 -3.33066907388e-16 -1.37800182102e-16 -0.00144259195053 -1.10202231105e-16 -5.55111512313e-17 -1.38401009732e-18 7.97972798949e-17 6.18020769215e-17 0.000872793260117 -1.27268442107e-16 -2.77555756156e-17 1.72000183809e-16 5.55111512313e-17 -7.61982919283e-17 -0.000335575371191 -8.98558812077e-18 -8.32667268469e-17 1.10323159921e-16 9.71445146547e-17 1.28994667319e-17 -5.99036220999e-05 2.58472607276e-16 0.0 -4.80946166363e-17 -5.55111512313e-17 1.09042111602e-16 0.000285322643261 1.79556428645e-16 -1.38777878078e-17 -5.74015802713e-17 -5.55111512313e-17 7.89414966962e-17 0.000356412104802 4.92741517577e-17 0.0 3.28823361878e-17 5.55111512313e-17 7.5963338871e-18 -0.000313136745858 -3.81019832953e-18 5.55111512313e-17 -1.23218675716e-17 5.55111512313e-17 -7.7382083181e-18 -0.000205639631709 1.12945140871e-17
130.62837839       9.99200722163e-16 0.0270520001085 1.84878015608e-14 0.159790018362 6.80011602583e-15 -1.07361352643e-14 5.74540415244e-15 0.325441017158 -8.29396157778e-14 0.922432729527 -2.74086309204e-15 -1.00799795969e-14 -4.02455846427e-15 -0.074191278318 5.5936940407e-15 0.098280039525 -5.35682609382e-15 1.17696329669e-15 2.01227923213e-15 0.0161743128035 1.67875925726e-15 -0.0348555298907 -4.17721413015e-15 -3.72000816306e-16 2.77555756156e-17 0.00180642170221 1.96403222137e-16 0.0152410568027 3.88578058619e-16 -9.39224848882e-16 -3.88578058619e-16 -0.00191517572937 -4.18994890015e-16 0.00663652527854 3.92047505571e-16 3.02972874443e-16 -3.12250225676e-17 -0.00232242206416 -4.33625916121e-17 0.00230260445079 -6.71337985203e-16 -1.46254666045e-16 -7.97972798949e-17 -0.0017902295011 1.24186731835e-16 0.000167055630007 2.22044604925e-16 5.87712103892e-17 3.60822483003e-16 -0.00110140385147 -1.67754572364e-17 0.000729170368965 -3.60822483003e-16 1.05295528994e-16 -2.42861286637e-16 -0.000490817095285 -5.39648427129e-17 -0.000944720908612 -2.77555756156e-17 9.62669843037e-18 8.32667268469e-17 3.86492289967e-05 2.63125345772e-16 -0.000816142791835 -5.55111512313e-17 8.7536351251e-17 -2.77555756156e-17 -0.000228849194648 1.06525631282e-16 0.000544132008538 -3.64291929955e-17 -8.82650162603e-17 1.73472347598e-17 -0.000329041981691 -1.30174243036e-17 -0.000252061443206 -2.22044604925e-16 6.82591984772e-17 2.77555756156e-17 0.000308723764416 -5.33320498697e-18 -1.34862896146e-05 -1.11022302463e-16 1.02541216505e-17 -6.24500451352e-17 0.000220470417138 1.27712541984e-16 -0.000138866532161 -5.55111512313e-17 3.27313214188e-17 5.55111512313e-17 0.000108097199634 1.87651218888e-18 -0.000203724306261 -5.55111512313e-17 8.26986791098e-19 -8.32667268469e-17 -3.76617173354e-06 2.60388828938e-19 -0.00019865110211
