Eigenval      Eigenvec
7.96043937727       0.94332165527 1.24536474473e-16 2.29550278819e-15 -1.1476155503e-15 6.56958100325e-15 1.77684654716e-17 1.04609852316e-15 -1.9676805596e-14 0.142963527868 3.76218012404e-15 0.265607543851 1.2566105728e-16 -3.82638123582e-17 -7.61294199523e-17 5.72646069049e-16 2.15097271145e-16 2.54033149442e-16 3.82448290944e-16 -0.0745354734547 2.55311167281e-16 0.10316966833 1.74183305331e-16 2.96287007891e-16 -4.64342949178e-17 -3.39973117466e-17 -2.12431276722e-17 5.78847415768e-18 2.61014076914e-17 0.0370791407719 -3.06674992057e-15 -0.0345757575798 1.79069958809e-16 1.39267180381e-16 1.61893326081e-16 2.97527030035e-17 8.69478521566e-17 7.5117323271e-18 6.81115649004e-17 -0.0144143824444 7.98665174165e-17 -0.0117812031429 -1.02046293862e-16 -2.94108840611e-17 6.20863070081e-17 8.65178043989e-18 1.19309100465e-17 2.58296367329e-17 1.03052908229e-17 0.00435429029791 1.96667887773e-16 0.00370795609086 1.24988827861e-17 9.35915632934e-18 -9.01739778076e-19 2.26534650505e-17 4.71348476278e-17 5.29872301761e-17 1.30050620672e-17 -0.000362553568472 1.82936388796e-17 0.000332697921771 2.89402943691e-18 1.74572035355e-17 1.4623125503e-17 3.28894818747e-17 5.36941895279e-17 9.90399601274e-18 3.70547351247e-17 -0.00104859878254 9.81645826029e-18 0.0010282725704 3.42003204678e-17 2.46937316363e-17 1.66354340741e-17 1.25076651723e-17 6.90904872943e-18 2.02522978641e-17 1.04405092426e-17 -0.00135344638403 3.28927745748e-17 0.00133386978067 4.41354645674e-17 2.83167226487e-18 5.12419704798e-17 5.60081577789e-17 -9.76766727156e-20 1.0221262755e-16 -3.02484031752e-17 0.00115469701354 1.52304573179e-17 -0.00112575835332 -4.89571717975e-17 3.02264452949e-17 1.65339366602e-17 -5.66345300535e-17 4.08872356648e-17 6.42179928295e-17 3.61238974801e-17 0.000750611985401 1.69954334915e-17
8.55858334658       -5.55111512313e-16 0.925936717063 -3.55958438025e-14 4.68321489282e-14 3.31372090006e-15 -1.91590382648e-14 1.10246494846e-14 -0.266130870516 -3.46667139439e-14 -3.80667504179e-15 1.16573417586e-15 -0.223836655221 -3.57880746398e-16 -1.04663320237e-14 -3.8852781845e-15 -1.28046845427e-15 -2.0551187154e-15 -0.105667310532 1.05471187339e-15 -5.03009015831e-16 2.22044604925e-16 0.0860075893558 4.10110942043e-16 1.33289584083e-15 4.65213396658e-16 -1.45525294082e-15 -6.95154352193e-16 0.0419120293742 -6.66133814775e-16 -6.18813315803e-16 -2.22044604925e-16 0.0315426328529 6.94323629035e-17 -1.04989063461e-16 -1.43646225876e-16 2.76522621895e-16 3.50159310977e-16 0.0149663974388 3.88578058619e-16 -5.29532783368e-16 -3.33066907388e-16 -0.0114912352327 -3.31930817444e-16 3.53918613409e-18 -4.58052073899e-16 -8.11558917604e-17 3.46988542915e-16 -0.00444209047311 -9.71445146547e-17 1.21734835513e-16 -8.32667268469e-17 -0.00364017829815 -3.26516871686e-17 -9.6597477248e-17 -3.62254805504e-16 -2.99391992435e-17 -6.22367658266e-17 -0.000371098088618 1.70002900646e-16 6.3986787736e-17 -2.77555756156e-17 -0.000322521569344 1.3620807337e-16 -2.71594014387e-17 -3.35922415595e-17 2.25867116423e-16 -6.67347753457e-17 0.00108946920213 4.85722573274e-17 1.1693806915e-16 0.0 -0.000990724719882 3.22063293777e-17 -7.29222944763e-17 2.81394882463e-17 -1.04372898901e-16 -1.95601020314e-16 -0.00140110509758 -4.16333634234e-17 9.36148727737e-17 -6.93889390391e-17 0.00129155521384 6.9285715566e-18 6.51235594519e-18 -1.82189001307e-17 -9.87831651345e-18 1.89928155114e-17 0.00118350329964 -9.71445146547e-17 1.44964037208e-16 -5.55111512313e-17 -0.00110078231623 2.02573755131e-17 -7.87511135491e-17 4.58880113606e-17 9.82859677502e-18 9.39675800689e-18 0.000766333251679 -5.55111512313e-17 -1.50622328776e-17
9.38981437172       2.67841304691e-15 -3.3498819218e-14 -0.8888803658 -5.59857152664e-13 2.0817110165e-14 -7.76587140406e-15 -0.388803935738 -1.24596780396e-14 -3.99680288865e-15 8.65674577998e-15 1.97064586871e-15 -1.19889696789e-15 0.178005056242 -1.29728158453e-15 3.067343499e-15 -1.92954531577e-15 -0.134155829329 2.70220892203e-15 -6.38378239159e-16 -2.71965409609e-16 -1.38777878078e-16 1.01607806562e-15 -0.0741717525914 1.01941015662e-15 -9.51317288404e-18 1.32909065931e-15 -0.0475510172342 -1.64178062625e-15 4.4408920985e-16 -4.52237080562e-16 1.94289029309e-16 4.50754646335e-16 -0.0293682607929 2.01082394335e-16 3.6789883087e-16 6.32566105847e-17 -0.0157935354766 -4.58794913615e-16 -3.88578058619e-16 -5.32564396159e-16 1.11022302463e-16 -2.46303257633e-16 -0.0110718684389 1.14866435184e-16 -3.23882569255e-17 2.43424315404e-16 0.00455685815272 1.25437215276e-16 1.38777878078e-17 -3.20302327112e-16 -2.63677968348e-16 -1.66042896881e-16 -0.00352697108431 -2.72364428564e-16 2.49696583523e-16 1.55704191797e-16 0.000374246386278 5.30876893897e-17 1.31838984174e-16 5.65999528938e-17 -1.04083408559e-16 1.39565043574e-16 -0.000313004728796 3.54551690521e-17 -2.44370349741e-16 -2.08662011285e-16 0.00112636921249 -9.01093754955e-20 1.38777878078e-16 5.86786267149e-17 -1.38777878078e-16 1.01715247705e-17 -0.000957762363144 1.07915305637e-17 -6.80321828041e-17 7.78919618211e-17 0.00144534714707 6.95673710958e-17 -1.66533453694e-16 1.01249919429e-17 -1.66533453694e-16 6.05757374135e-17 0.00125636130188 2.729443926e-17 -1.16737375888e-16 2.42834999747e-16 0.00121406183335 -2.76343920528e-16 2.77555756156e-16 2.35576884881e-17 -5.55111512313e-17 -1.20524090638e-17 -0.00107767786748 1.04738682739e-16 8.31430486558e-17 6.10213643385e-17 0.000782318908453 -1.22868117646e-17 0.0 4.61022981295e-17
10.162842357       2.08166817117e-16 -3.64454107978e-14 -5.23880197189e-13 0.818956341379 -5.28747648131e-14 0.527103255481 5.47241357955e-15 -2.38247756992e-14 7.25808302349e-15 4.43850914171e-17 -1.55431223448e-15 -3.16322830906e-15 2.07172314887e-15 0.119002857731 -5.10271244383e-15 0.170449226448 3.39862048579e-15 6.12708364448e-16 0.0 -1.96940842243e-16 9.43689570931e-16 9.54254142647e-16 -4.82538727128e-16 -0.0620774900352 5.42072617223e-16 -0.0566015519113 -9.30362646339e-16 -5.12503837359e-16 -3.05311331772e-16 -8.28307511159e-16 5.55111512313e-17 1.5527069245e-16 -3.01519442851e-16 -0.0276789191971 2.12898496664e-17 0.0166658184415 -3.42643394242e-16 1.91033107983e-16 1.66533453694e-16 3.84088697881e-16 -2.77555756156e-16 1.75228092934e-16 2.80254845297e-16 -0.0107323763486 -3.09624695851e-16 -0.00453303307749 4.23380715237e-16 1.62751205938e-16 -3.33066907388e-16 4.20104604025e-16 5.55111512313e-17 -6.69976760779e-17 7.90552131766e-17 0.00341179272161 9.51233466756e-17 -0.000352237704968 1.33413303204e-16 4.57916326931e-17 2.77555756156e-17 6.40947901647e-17 -1.31838984174e-16 -2.07489376214e-16 -1.41840836289e-16 -0.000307374823567 2.46031280847e-17 0.00116331779641 1.15474349571e-16 2.29642987568e-16 1.66533453694e-16 -7.6278463226e-17 -2.77555756156e-17 1.54863110805e-16 -5.59533647574e-17 -0.000918170537904 -4.57570526349e-17 -0.00149537023207 -3.62916955843e-16 -2.0856069383e-17 8.32667268469e-17 2.91579255057e-17 -9.71445146547e-17 3.98362845753e-18 -1.0295806962e-16 -0.00122066144985 -1.79199412329e-16 -0.00124929577273 -2.11172572527e-17 -1.35517112538e-16 -2.77555756156e-17 6.73158729527e-17 -1.66533453694e-16 -9.53512234551e-17 1.87912575139e-17 0.0010570847389 3.72783313972e-17 -0.000797295336359 -1.40790261154e-17 4.72382432984e-17 5.55111512313e-17 -8.90478193409e-18
30.6308179276       -3.64985819346e-15 1.28322803681e-15 2.82573335725e-14 -2.1480812546e-14 0.949241109668 1.27704498035e-13 -1.49792249384e-14 2.00013382352e-14 -4.260480857e-15 2.08558593102e-14 -7.71605002114e-15 1.26233979695e-15 -1.00945395927e-15 -1.86560487861e-15 -0.288460441537 -5.56145933605e-15 -3.28822059701e-15 1.12054986344e-15 1.29063426613e-15 -4.01631188355e-16 6.31439345256e-16 -1.68547816445e-15 -4.35976183493e-16 -3.49485434733e-16 0.116222420791 -8.61668451937e-16 9.09991022395e-17 1.20593576346e-15 2.49800180541e-16 -4.69759352001e-16 -3.88578058619e-16 5.86570149733e-16 9.59205360365e-17 3.32911617582e-16 0.0442439719648 4.10916360031e-16 -3.48614990369e-16 -7.04383961249e-16 -6.66133814775e-16 -1.12406413594e-16 -5.27355936697e-16 -4.58752433394e-16 -1.93224351144e-16 3.6168504855e-16 0.0153765299996 -1.24290929889e-16 1.90924012469e-16 1.10698999463e-16 1.80411241502e-16 8.98206462157e-17 -9.71445146547e-17 1.36747842362e-16 2.73902917462e-16 5.6527585881e-16 0.00372967143751 6.26590312551e-17 -1.09784388487e-16 -2.28342693271e-16 1.11022302463e-16 1.96794945679e-16 -1.87350135405e-16 -6.49627643789e-18 -3.4057361086e-16 -3.16021679108e-17 0.000918727434268 -7.46332130696e-17 -3.4310764595e-17 -1.97538949825e-16 0.0 -1.44272140194e-16 1.11022302463e-16 -1.12818759736e-17 2.00910442757e-18 -6.28987810721e-17 0.00244279829314 -1.86146402829e-17 -1.99312535785e-16 2.48984189227e-16 0.0 1.18298003963e-16 -3.88578058619e-16 3.919528039e-17 1.57093700004e-17 1.22004830468e-16 0.00247352863411 -4.33186185217e-17 -2.40930257698e-16 1.87086479357e-17 -1.66533453694e-16 -5.10087944748e-17 6.93889390391e-17 1.50830570822e-16 1.36881611343e-16 2.22614197198e-16 0.00185241581098 -1.74502541736e-16 8.96754923499e-18 -6.06291764717e-17 3.33066907388e-16 1.99172842883e-17
31.5348119389       -9.99200722163e-16 3.5196343459e-14 3.43240821945e-13 -0.570751338289 -1.18210076021e-13 0.786851373884 2.00225883496e-14 -4.04918477311e-14 -3.33066907388e-16 -5.33535225262e-15 8.881784197e-16 7.69357159553e-16 2.32533773086e-15 0.10031186062 -3.06581469076e-15 0.192025105999 4.52681826015e-15 1.57896272736e-15 3.72965547335e-16 3.7305546786e-16 4.71844785466e-16 8.25230977823e-17 -1.56800287845e-15 -0.0501404968842 -1.04655103942e-15 -0.0672135111555 1.2028680416e-15 1.26636411683e-16 3.05311331772e-16 -9.07962656531e-16 -5.55111512313e-17 1.06810004787e-16 1.97395963288e-16 -0.0204261204524 4.01268231317e-16 0.0240497918754 -1.61599792347e-16 2.615761767e-16 -2.12503625807e-17 9.90874182209e-17 -1.38777878078e-17 4.76593491233e-17 -1.19951161072e-16 -0.00608015304496 -1.94781160693e-16 -0.00934901202551 -1.01097049722e-16 -9.07286400035e-18 -1.11022302463e-16 -3.00254254924e-16 -5.55111512313e-17 1.39882054805e-16 2.38643453974e-16 0.000525150147581 -6.2952094574e-18 -0.00316358342616 -8.13700947756e-17 4.82536050813e-17 0.0 9.2004332188e-17 -8.32667268469e-17 2.33860215327e-16 -1.04334706318e-16 0.00125180191321 -7.54268472693e-17 -0.00026793022153 -9.17854497166e-17 -1.72419561875e-17 -3.33066907388e-16 3.17471599616e-18 1.66533453694e-16 -2.35052847329e-16 -3.16827835988e-17 -0.00155147505834 7.34623000609e-17 -0.000925388603327 1.28507221247e-16 -1.19957065879e-17 5.55111512313e-17 -8.41049720654e-17 -1.11022302463e-16 4.21917029071e-17 3.46936170628e-17 -0.00129470249391 1.18042817965e-16 -0.00118655852298 -1.64178553641e-17 7.18267807216e-17 1.11022302463e-16 -1.55490894147e-17 -5.55111512313e-17 -6.777737853e-17 2.13218561112e-18 0.000845561254871 -1.71891191073e-17 -0.00100620788621 7.23918779222e-17 1.06036163693e-17 -1.66533453694e-16 -2.44141793048e-18
33.9696274184       -6.93889390391e-16 2.28795702584e-14 0.446244582698 2.74216330211e-13 -2.50222090285e-14 2.65649793393e-14 -0.853453716598 -7.69417627806e-15 2.52575738102e-15 3.00365624367e-14 1.11022302463e-15 -7.8521213863e-15 0.189581162842 3.84258366515e-15 5.25694484525e-15 -3.14741055706e-15 -0.165999490909 2.43446828847e-15 1.2490009027e-16 -1.41024287915e-15 1.94289029309e-16 -3.94042333285e-16 -0.0653972695658 4.39524461878e-18 -1.50306243848e-15 -1.26042724593e-16 -0.0596015120908 1.51896281227e-15 -2.49800180541e-16 -7.00355895765e-16 8.60422844084e-16 -3.78009408524e-16 -0.0220924654274 -3.50031744175e-16 -1.69235309018e-16 -5.29616968261e-16 -0.022986280072 1.73288043641e-16 -5.55111512313e-16 -2.31615486233e-16 -4.4408920985e-16 2.47113619095e-16 -0.00612343360373 -1.62034276426e-16 -3.4304794388e-17 2.50644633963e-16 0.00911034916611 -8.82742931702e-17 0.0 1.03095390897e-16 -5.55111512313e-17 8.0831641762e-17 -0.000488100468929 8.65237270896e-17 4.43707505119e-17 -8.90321376706e-17 0.0030632668958 1.1556169993e-16 -1.38777878078e-17 5.34224631254e-18 7.2858385991e-17 -6.78892338257e-17 0.0012976382133 1.20846799718e-16 -7.39436990944e-17 2.43746909016e-16 -0.000265681200185 -5.47755927394e-17 8.32667268469e-17 3.90282506322e-17 -1.38777878078e-16 -2.51743954721e-17 -0.00160802919693 -5.37820121582e-17 -6.56766029973e-18 2.59696230026e-17 0.000889049479027 -6.33325597065e-17 5.55111512313e-17 -4.25098990415e-18 -5.55111512313e-17 -4.06333362111e-17 0.00133549802824 5.65541961634e-17 2.22363436271e-17 -4.28118795235e-17 0.00115570945138 7.20994801394e-17 -8.32667268469e-17 -4.96512759293e-18 -1.66533453694e-16 -1.32156714458e-18 -0.000863193126191 -6.78684792419e-18 -5.31737879052e-17 -1.03653710847e-17 0.000988358999473 6.2955448023e-17 2.77555756156e-17 4.98245688756e-17
37.2762379936       1.04083408559e-15 -0.349183607821 1.9927546201e-14 -1.59868997709e-14 1.73217545887e-14 -3.90719593353e-14 9.46681295737e-15 -0.872444331012 -1.31283872662e-13 -2.45158676553e-14 3.10862446895e-15 -0.293029966544 -5.73470109688e-15 -7.09332126055e-15 -4.65439785595e-15 -7.36629453751e-16 8.73158531643e-16 -0.141989981507 1.66533453694e-16 9.33421878689e-17 -7.77156117238e-16 0.0818151655253 3.42313406847e-16 8.02536033465e-16 -3.80088359207e-17 -1.72854678188e-15 -9.02825791439e-16 0.0545402044384 -4.16333634234e-16 -3.25285268035e-16 -1.2490009027e-16 0.0244239145427 3.77485505173e-16 4.33472520731e-16 2.37785068486e-16 4.69652417735e-16 -4.22835883696e-16 0.0219687004501 1.11022302463e-16 9.6579081805e-18 -2.77555756156e-17 -0.00630062600795 -3.18810616002e-16 2.18486230446e-16 5.90793814448e-16 -5.16922288251e-19 -1.5667175053e-16 -0.0088037335928 -3.46944695195e-16 3.8801027153e-16 -5.55111512313e-17 -0.000449227887803 5.31760422806e-18 1.73701917044e-16 1.4827621034e-16 -1.73506367423e-17 1.73883395159e-16 -0.00296431851847 5.55111512313e-17 -4.4428287245e-17 8.32667268469e-17 0.00134942230758 -5.50601594503e-17 1.0683378046e-17 -4.6471361312e-18 4.37573773917e-17 -2.29086463819e-16 -0.000263064415399 -2.77555756156e-16 6.41321534181e-17 1.11022302463e-16 -0.00166148361686 -9.16992194401e-17 4.60573044352e-17 4.86722706304e-17 -1.20834474645e-16 5.96203726263e-17 -0.000860969785199 2.77555756156e-17 1.17045899949e-16 -1.11022302463e-16 0.00137579259657 7.95248867555e-17 4.41754209348e-17 -5.97674242692e-17 9.20488421058e-18 -1.43361437443e-17 0.00112945849463 -8.32667268469e-17 2.90453735057e-16 -1.11022302463e-16 -0.000883662461101 7.49573282859e-17 4.96410983915e-17 -7.44917139764e-17 -1.13433177808e-16 -1.49733435308e-16 0.000969885579034 0.0 -3.27011787995e-17
40.4535712308       -0.27636457428 -4.16930402165e-15 -3.77816643713e-15 -4.26122028964e-15 6.74032554758e-15 -3.60099336471e-15 7.90681223196e-16 -1.23728823338e-13 0.8341394326 3.7886051991e-14 0.447007030551 2.97640671492e-15 -6.62299526121e-16 4.7567008446e-16 1.72409536318e-15 9.20076131015e-16 2.0231845456e-17 5.05138629995e-16 -0.111728792404 5.03209957935e-16 0.10802973524 2.97286547751e-16 1.62571229512e-16 1.10411293934e-16 2.03487663428e-17 1.14477442954e-16 1.53851561796e-16 -6.06074900792e-18 0.050061082331 -2.39207576342e-15 -0.0279563347749 1.83394605755e-16 1.40247075162e-16 2.3067802923e-16 -2.72177311446e-17 8.0768705935e-17 1.16394138019e-16 2.7164450232e-16 -0.0211372331939 1.11146728464e-16 -0.0062663474214 -3.33812377749e-17 1.97961858287e-17 6.61354873575e-17 -2.21676003004e-17 -4.65069334622e-17 -1.40905942814e-18 -1.16476112209e-16 0.00850294924521 3.96415722552e-17 0.000307461007453 1.63253248336e-17 2.40890039048e-17 4.53411376155e-17 -1.97951768472e-17 5.83360420566e-17 5.73833849321e-17 2.80806344783e-17 -0.00286761644266 1.50871086401e-17 -0.00141103044266 1.08672393002e-17 7.35546069504e-17 -1.04070293787e-17 5.17750930532e-17 5.63747249183e-17 4.5575531449e-17 5.51691469763e-17 0.00026992590843 1.39143747928e-17 0.00171534743471 7.79220610569e-17 6.07429881038e-17 5.14282215629e-17 4.88839907388e-17 -2.53133927792e-17 3.56373545103e-17 4.13496060473e-17 -0.000828919234546 6.81015363594e-17 0.00142122167796 6.02292245712e-17 6.84709522527e-17 7.27600614242e-17 6.73477639274e-17 8.98877311976e-17 5.61496328921e-17 1.40626317967e-17 0.00110481227674 1.69949011735e-17 -0.000906041783337 1.95995676868e-17 3.35687911309e-18 -3.006967321e-17 3.21445793481e-17 1.84844738358e-17 1.29368964955e-17 -6.5722376032e-17 0.000951794985241 1.40499965948e-18
41.8896273913       -2.14064876936e-15 2.76465635807e-15 4.56212945295e-15 2.68495300567e-15 2.3081823867e-14 -6.40944800758e-15 -3.27883410651e-14 2.76876896308e-14 4.67403893367e-14 -0.999025070627 -4.53803661316e-15 -2.58243300226e-15 -1.20576841254e-15 8.65382374961e-15 3.82465433239e-15 1.17239389378e-15 -4.25291942897e-16 6.68125714792e-16 -2.3037127761e-15 0.0366212971502 1.69309011255e-15 -2.28035064472e-16 9.30649131678e-16 -3.97380871807e-16 -8.5325195006e-16 1.42083233652e-16 7.94696642381e-16 -1.64061846221e-16 -1.16573417586e-15 -0.0194997603332 2.19269047363e-15 9.39399602887e-16 8.62627792454e-16 2.35171287548e-16 -1.08796904124e-16 -2.2165978639e-16 -8.56413368019e-17 -2.23788556406e-16 -4.71844785466e-16 0.0121758154589 -2.22044604925e-16 -2.36945369862e-16 -3.79991809685e-16 1.01699941976e-16 -2.90530998627e-16 -4.54043634452e-17 3.23255599006e-18 -1.92637620568e-16 2.77555756156e-17 0.00752184408593 -3.16153353497e-16 1.38973969663e-16 -1.15065584942e-16 1.10188453581e-16 4.78302446026e-17 -1.62346995408e-16 2.17519190557e-16 1.57704967833e-16 -1.38777878078e-17 0.00424201983221 -2.77555756156e-17 2.20962218508e-16 -1.86649304648e-16 -1.25446885414e-17 -2.00834638998e-16 3.29192173334e-16 -2.40574565362e-18 -1.47654807705e-16 2.22044604925e-16 -0.00200991514242 -1.11022302463e-16 -1.362571654e-16 -6.50690023834e-17 4.20415118652e-17 4.38499951625e-17 -1.50264330063e-16 3.95031445959e-17 8.58625241586e-17 -5.55111512313e-17 0.000614513587617 6.93889390391e-17 6.01835053072e-17 7.35006273814e-17 -3.98430268405e-17 -4.88950845271e-17 -4.25370810032e-17 4.99074971077e-17 2.89170442881e-17 -2.22044604925e-16 -0.00016674121437 -2.77555756156e-16 6.36301354995e-17 4.52028335544e-17 -9.24892202058e-18 -4.61503205474e-18 3.44153134906e-17 5.56332900741e-17 -1.35025432126e-17 -3.46944695195e-18 -0.000528829296484
